P18	CDKN2C
EIF4A	EIF4A1, EIF4A1, EIF4A2, EIF4A2, EIF4A3, EIF4A3, EIF4A1, EIF4A2, EIF4A3, helicase, EIF4A1, EIF4A2, EIF4A3
CD286	TLR6
CD288	TLR8
CD289	TLR9
CD290	TLR10
CD292	BMPR1A
CDw293	BMPR1B
CD297	ART4
CD298	ATP1B3
CD299	CLEC4M
CD305	LAIR1
CD307	FCRL5
CD312	EMR2
CD315	PTGFRN
CD316	IGSF8
CD318	CDCP1
CD322	JAM2
CD328	SIGLEC7
CD329	SIGLEC8
CYLN2	CLIP2
IGK@	IGKV, IGKJ, IGKC, IGKC
CD335	NCR1
CD336	NCR2
CD337	NCR3
CDw338	ABCG2
CD344	FZD4
CD349	FZD9
CD350	FZD10
GNA12	ARHGEF1, PPP5C, ARHGEF12
MYLK	myosin
Wikipedia:Peer review/Strapping Young Lad/archive1	Wikipedia:Peer review/Strapping Young Lad/archive1, Wikipedia:Peer review/Strapping Young Lad/archive1
FBLN4	EFEMP2
SCA8	ATXN8OS
CD101	IGSF2
Wikipedia:Articles for deletion/Boggudupalli	Wikipedia:Articles for deletion/Boggudupalli, Wikipedia:Articles for deletion/Boggudupalli
ASAH	ASAH1
CLEC2	CLEC1B
ACTR1B	ACTR1A
LHFP	LHFPL1, LHFPL2
RABEPK	RAB9A, RAB9A
STAG1	STAG2
TUBGCP3	TUBGCP2, TUBGCP4, TUBGCP5, TUBGCP6
TIMM23	TIMM17A, TIMM22, TIMM44
TIMM17A	TIMM22, TIMM23, TIMM44
TOMM40	TOMM20, TOMM22, TOMM70A
SC65	NPM1
FARS2	Spasm, RCBTB2, CALCOCO2, KRT40, MID2, APPL1, IKZF3, KRT13, STX11, TRIM27, TFCP2, MKRN3, KRT31, HMBOX1, AGTRAP, ADAMTSL4, NOTCH2NL, SPRY1, YIF1A, BAG4, TPM2, AP1B1, TRAF2, GRB10, TRIP6, FHL5, ZNF655, BANP, NFKBID, PCSK5, DVL3, MDFI, BACH2, KCNF1, ZRANB2, FKBP7
CSPG5	GOPC
SDCCAG8	OFD1
ACTL7A	ACTL7B
RUNDC3A	RAP2A
RCBTB2	RCC1
CHD2	SMARCA2, ATPase, CHD8, DYRK1A, ANK2, GRIN2B, DSCAM
PNRC1	ESR1, ESRRA, ESRRG
SLC27A5	VLCS
KDELR3	KDELR1, KDELR2
LZTS1	EEF1G
RNF139	VHL
DDX42	SF3B1
TUBGCP5	TUBGCP2, TUBGCP3, TUBGCP4, TUBGCP6
FMNL2	FMNL1, FMNL3
FBXO32	EIF3A
GEFT	RHOA
PHACTR3	PPP1CA
LYPD1	LYNX1
TSEN15	TSEN2
TMC1	TMC2, PCDH15, CDH23, TMC2, TMC2
AMICA1	JAML
UHMK1	SYN1
EDARADD	TRAF2
DNAJC19	TIMM23, HSPA9, ATPase, TIMM44, HSPA9, PAM16, PHB2
STXBP5	STX4, STX1A
CTCFL	CTCF
C19orf25	CCDC85B
DGKQ	RHOA
DNA2L	helicase
DYX1	DYX1C1
ETFDH	MYH7B, LINC00174, LINC00574, AIRE, OTX1, TRIM69, COX6B1
ANKRD23	MYPN
LMTK2	PPP1CA, CDK5R1, myosin, CDK5R1, PPP1CA, PPP1R2
EXPH5	RAB27A
ZNF423	EBF1, PARP1, CEP290
MAPK15	GABARAP
ATP11B	ATPase
ARHGEF9	GPHN, SMURF1
TDRD7	TACC1
NPTXR	NPTX2
ISCU	GLRX5, NUP62, SDHB, HPRT1, GOLGA2, IKZF1, KRT40, AGTRAP, NECAB2, BANP, LNX1, MID2, KRT34, PICK1, YWHAB
ANP32D	ANP32A, ANP32B, ANP32C, ANP32E
ANP32C	ANP32A, ANP32B, ANP32D, ANP32E
PIK3R5	PIK3CG
GSPT2	PABPC1
CIZ1	p21, P21
TXN2	NADPH, HIF-1alpha, HMGA2
NDUFAF3	NDUFAF4, NDUFS2, NDUFS3, NDUFS8, NDUFA5, NDUFAF4, SNRPA
WWTR1	MST1, MST2, SAV1, LATS1, LATS2, MOB1A, YAP1, PAX8, NKX2-1, TTF1
GAPVD1	RAB5A, RAB5A, RAB31
GBX2	homeobox, FGF8
FGF21	FGFR1, SIRT1, SIRT3, FRS2, PPARGC1A
PLEK2	TMEM229B, ATP6V1D
RGS17	RGS4, RGS9, RGS14
NUFIP1	BRCA1, FMR1
CYTH4	ARF1, ARF5, ARF6, CYTH1
STK36	GLI1
ITGB1BP3	ST7
GRID1	GRID2
ACAD9	ACADVL, ACADS, ACADM, ACADL, ACADSB, NDUFAF1, TMEM126B, NDUFAF1, ECSIT
CCDC113	CSNK2A2, NDRG4, CSNK2A2, NDRG4, N-myc, ATF2, c-Myc, GIT1, IMMT, PFN2
STRN4	STK24
TLX2	YWHAH
TIMM22	TIMM17A, TIMM23, TIMM44
QRFP	GPR103
LAIR2	LAIR1
NDUFA10	FOXM1, FOXM1, FOXM1, RAB8A
MIRN21	TMEM49, Dicer, ANP32A, BTG2, CDK2AP1, HNRPK, JAG1, MEF2C, MSH2, PDCD4, RECK, SMARCA4, TGFBR2, SPRY1, SPRY2, TP63
NDUFB7	NDUFB8
PABPC3	PABPC1
NMD3	XPO1
APIP	APAF1
EGFL7	GATA2, PDGFB, JAG1, JAG2
MYO15A	myosin
HERC5	NME2
CRIM1	BMP4, TGFB1
PRRX2	homeobox
CWC15	CDC5L
ANAPC11	ANAPC2, CDC27
PIGH	TMEM229B, PIGQ
POLE2	SAP18
NDUFB11	FATE1, GPR42, CLDN7, GJB1, HIBADH, GPR152, GPR101, TIMMDC1, TIMMDC1, PPBP, CRELD2
AUP1	ITGA2B
MARCH5	MFN2, MFN1, MFN1, MFN2, MAP1B
GIPC2	GIPC1, GIPC3
SUHW4	CBX3
PCLKC	MAST2
EPS8L1	EPS8
SSH3	cofilin, proteins, LIMK1
ELP2	STAT3
C14orf106	MIS18BP1
MEG3	DLK1
PARL	OPA1, HAX1, PINK1, OPA1, HAX1
VEZT	myosin
TASP1	homeobox
NPLOC4	UFD1L
RABL6	MDFI
BRK1	C3orf10
C11orf16	AKIP1, BLAST, PWWP2A
C21orf59	TCP10L, FAM176C, OR7E23P, SUMO2, MAPK6
ATP10A	ATPase
SH3RF1	AKT2, MAP3K11
PHF12	SIN3A
GBA2	GBA3
MYL7	MYH6, MYL2, MYL4, MYH6, MYL2, MYL2, MYBPC3, MYH6, MYH6, MYH6
ALOXE3	ALOX12B, ALOX15B, ALOX12B, ALOX5, ALOX12, ALOX15
CHTF18	DCC1, PCNA, RFC2, RFC3, RFC4, RFC5
CENPK	SOX6
RRAGC	RRAGA
ZFYVE20	RAB5A
CARD9	BCL10, CLEC7A, TNF
RNF25	RELA
IKZF4	CTBP1, IKZF1
TAF4B	RELA
C14orf173	INF2
SUDS3	HDAC1, SIN3B, SIN3A
MRPS5	proteins
ZNF23	ZNF23
ZNF33A	ZAK
TSEN34	TSEN2
ULBP3	NKG2D
EPS8L3	EPS8
RNF128	CD154, OTUB1
CPSF7	NUDT21, CPSF6
DSN1	MIS12, NSL1, PMF1, ZWINT, NSL1, MIS12
LRRC8E	LRRC8A, LRRC8B, LRRC8C, LRRC8D, LRRC8A, LRRC8D, LRRC8A, LRRC8D
MOGAT2	MOGAT3
SHOC2	HRAS
ABTB1	EGR2
TSEN2	TSEN34, C1orf19
ZBP1	IGF2BP1, CRD-BP
CLPB	ATPase, HAX1
SPRY4	TESK1
SH3BGRL3	SH3BGR, SH3BGRL, REL, SH3BP1
SLC25A31	SLC25A5, ANT1, OPA1
SESN2	SESN1, SESN1
DOC2B	DOC2A
ING5	EP300, P53
MCM8	RAD51, MRE11
LOXL3	LOXL1, LOXL2, LOXL4
AGPAT9	GPAM
PPFIA4	GIT1
EIF4EBP3	EIF4E
DNAH11	ATPase
SNX4	BIN1
RELT	NF-kappaB, TRAF1
TUBGCP6	TUBGCP2, TUBGCP3, TUBGCP4, TUBGCP5
PSTPIP2	CSF-1, IP-10
MYOM2	MYOM1, MYOM1, MYOM1, myosin, myosin, MYH7
MAP3K13	PRDX3
NAV1	ATPase
SEC16B	LZTR2
TIMM50	TIMM44, snRNP
MS4A3	CDKN3
ENTPD3	CD39
TRIP12	APPBP1
GTF3C4	GTF3C2, GTF3C1, POLR3C, GTF3C5
LHX2	CITED2
AIM2	IFI16, PYCARD, IL1B
MRFAP1	MORF4L1
ABCC12	ABCA1
CEP135	CEP250
IPO13	RBM8A, PAX6, ALX1, EIF1AX, UBE2I
TMEM63A	EPHX1, SRP9, PYCR2, EGR1, BLAST, EEF1D, FAM163B, CPNE9, TMEM90A, STAC2, HEATR3, WDR67
TOX	LEF1, HMGB1, TOX2, TOX3, TOX4
KIAA0101	PCNA
FARP2	PDZK1
PJA2	UBE2D2
SV2B	SV2A
TROAP	BYSL
ADARB2	ADAR, ADARB1, 5-HT2C
PRMT3	RPS2
ABCA9	ABCA1
CAP2	CAP1
FBXW10	SKP1, CUL1
SMC2	DNMT3B
TMED1	IL1RL1
PTPN21	KIF1C
SOX21	SOX1, SOX2, SOX3
AKAP2	PRKAR2A
STX1B	UNC13B
RAB3C	ZWINT
COX15	COX, SURF1, COX1
SLC26A8	RACGAP1
MYL6B	ATPase
DUSP19	ASK1, MAP2K7
SLC34A3	PDZK1, SLC34A1
P2RXL1	P2RX6
P2X1	P2RX1
P2X2	P2RX2
P2X3	P2RX3
P2X4	P2RX4
P2X5	P2RX5
P2X6	P2RX6
TRIM50	TRIM73, TRIM74
WBSCR21	ABHD11
Australian Idol (season 4)	SMS, U2, U2, U2, U2, U2
GUD	WT1
HADH2	ACADSB
SARA2	SAR1B
NTCP	SLC10A1
LL37	KLK7
HCE	RNGTT
KIND1	FERMT1
DFNB1	GJB2
IOSCA	ATXN8OS
SCA11	TTBK2
SCA16	ITPR1
HSN2	WNK1
TRAF6	IRAK1, ASK1, FHL2, HSPB2, IKBKG, IRAK1, IRAK2, MAP3K7IP1, MAP3K7IP2, MAP3K7, PPP4C, RANK, SDCBP, SIGIRR, TAX1BP1, TNFAIP3, TNFRSF13B, UBE2N
IRF3	IRF1, IRF2, IRF7
GRB10	MAP2K1
TRAF2	TRAF1, BIRC2, BIRC3, ASK1, BCL10, BIRC2, CASP8AP2, CD134, CD137, CD27, CFLAR, CHUK, EDARADD, HIVEP3, IKK2, MAP3K14, MAP3K1, MAP3K7IP2, MAP4K2, MAP4K5, RANK, RIPK1, TNFAIP3, TNFRSF13B, TNFRSF14, TNFRSF1A, TNFRSF1B, TNFSF14, TRADD, TRAF1, UBE2N
TRADD	TNFRSF1A, TNFR1, TRAF2, FADD, FADD, RIPK1, STAT1, TNFRSF1A, TNFRSF25, TRAF2, RIPK1
MEKK1	MAP3K1
ASK1	CIB1, CDC25A, DUSP19, GADD45B, HSPA1A, MAP2K6, MAP3K7, MAPK8IP3, PDCD6, PPP5C, RB1CC1, TRAF2, TRAF5, TRAF6
MKK7	MAP2K7
GAB2	PTPN11, AKT, GAB1, GRB2, PTPN11, PI3K, CRKL, JNK, PI3K, PLCG2, PTPN11, JMML, SHC1, AKT, PTPN11
HDAC1	MTA2, BCL6, BTG2, BUB1B, BUB1, BUB3, CBFA2T3, CDC20, CHD3, CHD4, CTBP1, DDX17, DDX5, DNMT3A, DNMT3L, EVI1, EZH2, FKBP3, GATA1, HMG20B, HSPA4, HUS1, IFRD1, IKZF1, ING1, MBD3, MIER1, MTA1, MTA2, NFKB1, P21, PCNA, PHF21A, RAD9A, RBBP4, RBBP7, RCOR1, RELA, RFC1, SAP30, SATB1, SIN3A, SIN3B, SPEN, SUDS3, SUV39H1, TOP2A, TOP2B
CD27	CD70, SIVA1, TRAF2, TRAF3
CD131	CSF2RB
ED1	CD68
ACVRL1	ALK1, ACVR1B, ACVR1C
ETV6	FLI1, FLI1, HTATIP, PDGFRA, PDGFRB, FLT3, ABL1, RUNX1, PAX5, MNX1, MECOM, FGFR3, ABL2, NTRK3, JAK2, SYK, LYN, PER1, CDX2, PTPRR, NCOA2, GOT1, ACSL6, FCHO2, BAZ2A, NOTCH1, NTRK3, ROS1
OCT4	Oct-4
Oct-3	Oct-4
TRPC6	FYN, TRPC2, TRPC3
Wikipedia:Articles for deletion/The Merge Ministry	Wikipedia:Articles for deletion/The Merge Ministry
STAT6	EP300, IRF4, NFKB1, SND1, NAB2
STAT4	STAT1, IL18R1, IL18RAP, MYD88
STAT2	IRF9, IFNAR1, IFNAR2, IRF9, MED14, SMARCA4, STAT1
NPAS1	NPAS3
MOP5	NPAS1
TAL1	CBFA2T3, EP300, GATA1, LDB1, LMO1, LMO2, SIN3A, TCF3
CPEB	PUM2, PARN, SYMPK, EIF4EBP1
CBX1	C11orf30, CBX3, SUV39H1
CBX3	PIM1, CBX1
IKK2	CDC37, CHUK, FANCA, IKBKG, IRAK1, MAP3K14, NFKB1, NFKBIB, PPM1B, TNFRSF1A, TRAF2
SMC1A	SMC1L2, BRCA1
CDC42	PAK1, PAK2, homodimer, ARHGAP1, ARHGDIA, BAIAP2, BNIP2, BNIPL, CDC42EP2, CDC42EP3, ERRFI1, GDI1, IQGAP1, IQGAP2, ITSN1, MAP3K10, MAP3K11, PAK1, PAK2, PAK4, PAK7, PARD6A, PARD6B, TRIP10
FGD1	CDC42, EEA1, CDC42
LMX1B	homeobox
ATP2A2	ATPase
B220	PTPRC
DNMT3B	DNMT1, DNMT3A, KIF4A, NCAPG, SMC2, UBE2I
HESX1	homeobox
TP63	p73, HNRPAB, AMACR
STX11	SNAP-25, SNAP23
UNC13D	CD63
SGLT1	SLC5A1
NR0B1	DAX1
DAX1	SRY, COPS2, NRIP1, SREBF1
SOAT	SOAT1, SOAT2
CARM1	MDH1, NADPH
CD9	CD117, CD29, CD46, CD81, PTGFRN, TSPAN4
CD63	CD117
CD151	CD46
JAG1	NOTCH2
Wikipedia:Miscellany for deletion/Wikipedia:WikiProject Messageboxes	H
STAP	STAP1, STAP2
SK3	KCNN1, KCNN2
AP-2	AP2
AKT1	AKT2, AKTIP, BRCA1, CDKN1B, CHUK, GAB2, MAP2K4, MAP3K11, MAP3K8, MAPK14, MAPKAPK2, MARK2, MTCP1, NPM1, PKN2, PRKCQ, TCL1A, TRIB3, TSC1, TSC2, YWHAZ, AKT, AKT2, AKT3
HIF1A	HIF-1, VEGF, UBE2S, USP20, RWDD3, SENP1, GNB2L1, PTBP1, ELAVL1, OS-9, SAT2, RACK1, GSK3B, FOXO4, VEGF, VEGF, PI3K, AKT, Bcl-2, ARNTL, EP300, HIF1AN, P53, PSMA7, STAT3
MMP9	MMP3, MMP3
NFKB1	BCL3, C22orf25, HDAC1, HMGA2, IKK2, ITGB3BP, LYL1, MAP3K7IP2, MAP3K8, MEN1, NFKB2, NFKBIE, NOTCH1, RELA, RELB, STAT3, STAT6, TSC22D3
MAPK1	ADAM17, CIITA, DUSP1, DUSP22, DUSP3, ELK1, FHL2, HDAC4, MAP2K1, MAP3K1, MAPK14, MKNK1, MKNK2, NEK2, PEA15, PTPN7, RPS6KA1, RPS6KA2, RPS6KA3, SORBS3, STAT5A, TNIP1, TOB1, TSC2, UBR5, VAV1
LAT1	CD98
RTP3	RTP1, RTP2, RTP1
HCP5	HLA-B
SLC5A1	SGLT2, PAWR
HLA-DRB4	HLA-DRB1, HLA-DRB3, HLA-DRB5
HLA-DRB5	HLA-DRB1, HLA-DRB3, HLA-DRB4
ZEB2	ZEB1
ZFHX1B	ZEB2
ASPL	ASPSCR1
FOXP1	SOX4, OCT4, NR5A2, GDF3, FOXP2, FOXP3
VLCAD	ACADVL
EMR2	EMR3, CD97, CD97, CD55
PMSL	LOL
MOSP	PTPMT1, DUSP23
NRK1	NRK, NRK2, NRK
NRK2	NRK, NRK1, NRK, NRK1, SMS
Mal	MAL
HHD	ATP2C1
RANK	RANKL, RANKL, JNK, CD40, TRAF6, TRAF1, TRAF2, TRAF3, TRAF5, TRAF6, RANKL
SNAP25	CPLX1, ITSN1, KIF5B, SNAPAP, STX11, STX1A, STX2, STX4, SYT1, TRIM9, VAMP2
HEIC	CCDC5
CD154	CD4, CD40, RNF128
GITR	TNFRSF18
P21	CDK2, TP53, PCNA, CASP3, CDK2, SKP2, CUL4A, BCCIP, CIZ1, CUL4A, DDB1, GADD45A, GADD45G, PCNA, PIM1, TSG101
BMP2	BMP2K
HBM	HLM
BMP3	BMP4
IL-38	IL1F10
Mib	MIB
ADAP	FYB
PECAM-1	CD31
HLA-DRB1	HLA-DRB3, HLA-DRB4, HLA-DRB5
HLA-DRA	HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5
GLUT1	GLUT4, GIPC1, ADD2, DMTN, SNX27, STOM, SGTA, CREB
BMPR1A	BMPR1B, BMPR2, ACVR1, GDF6, SMAD4, SF3B4, ZMYND11
CD209	DC-SIGN
HEXB	HEXA
ACVR1C	TGFB, ACVR2B, SMAD2, SMAD3
ACVR1B	ACVR2A, ACVR2B, SMAD2, SMAD3, GDF-1, ACVR2A, ACVR2B
ACVR1	ACVR2A, ACVR2B, BMPR2, SMAD1, SMAD2, SMAD3, SMAD6
CYP1B1	CYP1A1, CYP1A2
ACVR2A	ACVR1B, INHBA, SYNJ2BP
ACVR2B	ACVR1B, SYNJ2BP
GRB2	GRAP2, GRAP, ADAM15, BCAR1, CD117, CD22, CD28, CDKN1B, DCTN1, DNM1, ETV6, FRS2, GAB1, GAB2, HNRNPC, INPP5D, IRS1, KHDRBS1, MAP2, MAP3K1, MAP4K1, MED28, MST1R, MUC1, NCKIPSD, NEU3, PDGFRB, PIK3R1, PLCG1, PRKAR1A, PTK2, PTPN11, PTPN12, PTPN1, PTPN6, PTPRA, RAPGEF1, SH2B1, SH3KBP1, SHC1, SOS1, TNK2, VAV1, VAV2, VAV3
CD98	SLC3A2, SLC3A2, SLC7A5, SLC7A5, SLC3A2, SLC7A5, SLC3A2, SLC7A5
PTPN11	NPM1, STAT3, CD117, CD31, CEACAM1, FRS2, GAB1, GAB2, IRS1, LAIR1, LRP1, PDGFRB, PI3K, PLCG2, PTK2B, SLAMF1, SOCS3, SOS1, STAT3, STAT5A, STAT5B
FMOD	API
CD1D	CD1
HBB	HBA1, HBE1, HBG2, HBG1, HBD
C1GALT1	mucin
MARC1	MOCOS
DOS	CPU
RBTN2	LMO2
IGH	IGH@
CD2BP1	PSTPIP1
NEAT1	NONO
HPS6	HPS3, HPS5
HFE2	HAMP
HK2	HK4, HK1, HK3
HK3	HK4, HK1, HK2, SPI1, BCL2A1, CEBPA, PU.1, CEBPA, HK1, HK2
KRT83	KRT81, KRT86, KRT82, KRT84, KRT85
PTG	PPP1R3C
T1R1	TAS1R1
CD303	CLEC4C
CD94	KLRD1
FOXO1	PPARG, SOD2, PI3K, SIRT1, TRAIL, TP53, TP53, CCNG1, CCNG1, AKT, SGK1, SGK1, SGK1, PAX3, TNF, CD8, RUNX2, TSC2
MYLK3	myosin, MYH7B, MYL2
DUX4	homeobox, PITX1, PITX1
KLK9	kallikrein
BSEP	ABCB11
RTL9	PAL, PAL, ADSL
ERK4	MAPK4
ERK7	MAPK15
ERK8	MAPK15
CTIP2	BCL11B
ERGIC-53	LMAN1
ASAH3	ACER1
ACER2	ITGB1
GLUT7	SLC2A7
FUT4	CD15
EIF-5A	EIF5A
TBR1	TBX21, TBX21, CASK, NR2B, RELN, SOX5, DOT1L, TBX21
AWAL	UK
CD45	PTPRC
HXMA	ACSM2B
ULK2	SYNGAP1
SLC42A1	RHAG
SLC42A2	RHBG
SLC42A3	RHCG
Sec5p	EXOC2
HRPT2	CDC73
OCTN1	SLC22A4
MKS1	TMEM67
MKS3	TMEM67
MCAM	CD146
ATG8	GABARAP, GABARAPL1, GABARAPL2, MAP1LC3A, MAP1LC3B, MAP1LC3B2, MAP1LC3C, GABARAP, ATG7, ATG5, ATG12, ATG7, ATG5, ATG12, ATG12, ATG5, ATG7, ATG12, MAP1LC3A, GABARAP, GABARAPL2, ATG4A, ATG5, ATG7, ATG12, MAP1LC3A, GABARAP
ALDH16A1	SPG21
ALDH1L2	ALDH1L1
ALDH5	ALDH1B1
LRRC57	SNAP23, SNAP23
C11orf1	BLAST, SETDB1
VLCS	SLC27A2
HADH	HADHA
CARKD	COL4A2, ING1, APOA1BP
MAST	Mast
PAP1	RP9
APOA1BP	APOA1, APOA2
KC6	PIK3C3
C16orf58	BSCL2, BSCL2, TSC22D4
P15	CDKN2B
KSRP	KHSRP
ITPKC	ITPKA, ITPKB, ITPR1
OA1	GPR143
BLOS2	BLOC1S2
BLOS1	BLOC1S1
IPF1	PDX1
C53	CDK5RAP3
URAT1	SLC22A12
MAP1	MAP1A, MAP1B
5-HTTLPR	SLC6A4, BDNF
PARK11	TNRC15
PARK9	ATP13A2
B37	ATN1
B99	GTSE1
BLBP	FABP7
GPR182	CALCRL
NFATc	NFATC1
AHSA2	Hsp90, AHSA1
P23	PTGES3
JAML	AMICA1, CXADR, CAR, JAM1, JAM2, JAM3
GABRQ	GABRB1
B-FABP	FABP7
ANK2	ANK1, ANK3, DNAJB1, ATP2A2, RYR2, RYR2, RYR2, OBSCN, DCTN4, SPTBN2, ITPR1, DNAJB1, SPTBN1, OBSCN, DCTN4
HSP90AA2	Hsp90
Nav1.8	SCN5A, SCN11A, SCN7A, S100A10
ITPR3	TRPM5
RYR3	RYR1
TPCN1	TPC1, TPC2
TPCN2	TPC1, TPC2
MCOLN2	MCOLN1, MCOLN3
MCOLN3	MCOLN1, MCOLN2
CLNS1B	CLNS1A
VDAC2	hexokinase, eNOS
VDAC3	hexokinase
LLT1	CLEC2D
TIRC7	TCIRG1
EIF4G	helicase, EIF4G2, EIF4G3
VACM-1	CUL5
H2AZ	H2AFZ
RIP140	NRIP1
CED-12	ELMO1, RAC1, DOCK180
CED12	CED-12
ANKTM1	TRPA1
TRP53	P53
TERE1	UBIAD1
GPR23	LPAR4
GPR92	LPAR5
P2RY5	LPAR6
CSPG6	SMC3
CSPG8	CD44
SIAE	CD, CD
GLUT-1	GLUT1
SLC39A10	SLC39A1, ZIP9
DDP1	TIMM8A
CPI-17	PPP1R14A
TSPAN12	ADAM10, CD44
PGC-1alpha	PPARGC1A
UBF1	UBTF
CD107b	LAMP2
NKR2B4	CD244
2B4	CD244
IFT81	IFT74, CEP170
TAS2R48	TAS2R19
TAS2R47	TAS2R30
TAS2R44	TAS2R31
TAS2R49	TAS2R20
FIH1	HIF1AN
STX10	GLUT4, STX6, VTI1A, STX16, VAMP3, VAMP4, STX16, STX6
MYO1G	myosin
TMSB15B	TMSB15A
HIKESHI	CRHBP
ELA3B	CELA3B
CELA1	CELA3B
ELA2A	CELA2A
ELA3A	CELA3A
PAFAH1B1	VLDLR, DYNC1H1, CLIP1, NDEL1, NDE1, PAFAH1B3, PAFAH1B2, NUDC, TUBA1A, PAFAH1B2, PAFAH1B3
LIS1	PAFAH1B1
SREB	GPR27, GPR27, GPR85, GPR85, GPR173, GPR173
GRIA3	PICK1, ADAR, ADAR, ADARB1, ADARB2
P2RY12	P2Y12
RGS4	RGS1, RGS9, RGS17, COPB2, ERBB3, GNAQ
TIA-1	TIA1
ICAM4	CD242
RUNX1	CBFB, GATA2, SMAD6, SUV39H1, TLE1, RUNX2, RUNX3
Hc	HC
GPER	CCL18
MYO5A	DYNLL1, RAB27A, DYNLL2, RPGRIP1L
ITGAE	ITGB7, CD4, CD25, FOXP3, CD103
CD103	ITGAE
IRBP	RBP3
Wikipedia:Articles for deletion/Giuliana DePandi	Wikipedia:Articles for deletion/Giuliana DePandi, Wikipedia:Articles for deletion/Giuliana DePandi
DISC1	DISC2, TSNAX, PAFAH1B1, PDE4B, NDEL1, NDEL1, ATF4, ATF5, CREB, FEZ1, MAP1A, NDEL1, CEP63, EIF3A, RANBP9, SPTBN4
WNT4	RSPO1, SRY, SOX9, SOX9, SOX9, FGF2, FGF9, BMP4, FGF9, CYP17A1, HSD3B2
RHOB	ARHGEF3, ARHGDIG, RHPN2
HMGA2	ERCC1, ERCC1, DNA-PKcs, PIAS3, NFKB1
COH1	VPS13B
CCR2	CCL2
GSK3A	c-Jun, PIK3CG
NPAS2	CLOCK, NPAS1, CLOCK, ARNTL, PER2, ARNTL, PER2, EP300, ARNTL, CLOCK, PER2, BMAL1, CLOCK, ARNTL
TRPC1	HOMER3, RHOA, TRPC3, TRPC4, TRPC5
TRPC2	TRPC6
TRPC3	TRPC1, TRPC6
TRPC4	ITPR1, TRPC1, TRPC5
TRPC5	TRPC1, TRPC3, TRPC4, MX1, RNF24, SEC14L1, SESTD1, TRPC1, STMN3, TRPC1, TRPC4
TRPM2	NLRP3, TRPM8
PER3	PER1, PER2
PER2	PER1, PER1, CLOCK, BMAL1, PER3, PER1, PER3
TRPA1	TRPV1, ALOX12, TRPV1, TRPV1, CMKLR1, GPR32, FPR2
FBXL3	CRY1, CRY2, CLOCK, PER1, PER2, HDAC3, CRY1, CRY2, HDAC3
TRPM5	TRPV1, TRPM8, TRPM4
