GeneID	Symbol	Aliases
4313	MMP2	CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1
5594	MAPK1	ERK, ERK-2, ERK2, ERT1, MAPK2, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK
5054	SERPINE1	PAI, PAI-1, PAI1, PLANH1
1234	CCR5	CC-CKR-5, CCCKR5, CCR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22
595	CCND1	BCL1, D11S287E, PRAD1, U21B31
6347	CCL2	GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF
1026	CDKN1A	CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1
5444	PON1	ESA, MVCD5, PON
332	BIRC5	API4, EPR-1
2147	F2	PT, RPRGL2, THPH1
4879	NPPB	BNP
2950	GSTP1	DFN7, FAEES3, GST3, GSTP, HEL-S-22, PI
3105	HLA-A	HLAA
6647	SOD1	ALS, ALS1, HEL-S-44, IPOA, SOD, hSod1, homodimer
2153	F5	FVL, PCCF, RPRGL1, THPH2
5290	PIK3CA	CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha
7097	TLR2	CD282, TIL4
3605	IL17A	CTLA-8, CTLA8, IL-17, IL-17A, IL17
1493	CTLA4	ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12
3119	HLA-DQB1	CELIAC1, HLA-DQB, IDDM1
3077	HFE	HFE1, HH, HLA-H, MVCD7, TFQTL2
6387	CXCL12	IRH, PBSF, SCYB12, SDF1, TLSF, TPAR1
1813	DRD2	D2DR, D2R
472	ATM	AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1
960	CD44	CDW44, CSPG8, ECMR-III, HCELL, HUTCH-I, IN, LHR, MC56, MDU2, MDU3, MIC4, Pgp1
4233	MET	AUTS9, DFNB97, HGFR, RCCP2, c-Met
4851	NOTCH1	AOS5, AOVD1, TAN1, hN1
1565	CYP2D6	CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2, CYP2D8P2, CYP2DL1, CYPIID6, P450-DB1, P450C2D, P450DB1
7515	XRCC1	RCC, SCAR26
3815	KIT	C-Kit, CD117, MASTC, PBT, SCFR
4780	NFE2L2	HEBP1, IMDDHH, NRF2
355	FAS	ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS
1557	CYP2C19	CPCJ, CYP2C, CYPIIC17, CYPIIC19, P450C2C, P450IIC19
154	ADRB2	ADRB2R, ADRBR, B2AR, BAR, BETA2AR
2908	NR3C1	GCCR, GCR, GCRST, GR, GRL
3383	ICAM1	BB2, CD54, P3.58
110806262	LOC110806262	
406991	MIR21	MIRN21, hsa-mir-21, miR-21, miRNA21
3162	HMOX1	HMOX1D, HO-1, HSP32, bK286B10
2100	ESR2	ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2
5970	RELA	NFKB3, p65
3606	IL18	IGIF, IL-18, IL-1g, IL1F4
29126	CD274	B7-H, B7H1, PD-L1, PDCD1L1, PDCD1LG1, PDL1
6696	SPP1	BNSP, BSPI, ETA-1, OPN
23411	SIRT1	SIR2, SIR2L1, SIR2alpha
3146	HMGB1	HMG-1, HMG1, HMG3, SBP-1
3135	HLA-G	MHC-G
1432	MAPK14	CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA
5925	RB1	OSRC, PPP1R130, RB, p105-Rb, pRb, pp110
50943	FOXP3	AIID, DIETER, IPEX, JM2, PIDX, XPID
3565	IL4	BCGF-1, BCGF1, BSF-1, BSF1, IL-4
183	AGT	ANHU, SERPINA8, hFLT1
7450	VWF	F8VWF, VWD
120892	LRRK2	AURA17, DARDARIN, PARK8, RIPK7, ROCO2
335	APOA1	apo(a)
51738	GHRL	MTLRP
2932	GSK3B	
6714	SRC	ASV1, THC6, c-SRC, p60-Src, SRC
3480	IGF1R	CD221, IGFIR, IGFR, JTK13
5979	RET	CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, PTC-ELE1, RET
3690	ITGB3	BDPLT16, BDPLT2, CD61, GP3A, GPIIIa, GT
2706	GJB2	CX26, DFNA3, DFNA3A, DFNB1, DFNB1A, HID, KID, NSRD1, PPK
177	AGER	RAGE, SCARJ1
64127	NOD2	ACUG, BLAU, BLAUS, CARD15, CD, CLR16.3, IBD1, NLRC2B, PSORAS1, YAOS, NOD2
836	CASP3	CPP32, CPP32B, SCA-1
1543	CYP1A1	AHH, AHRR, CP11, CYP1, CYPIA1, P1-450, P450-C, P450DX
3688	ITGB1	CD29, FNRB, GPIIA, MDF2, MSK12, VLA-BETA, VLAB
5621	PRNP	ASCR, AltPrP, CD230, CJD, GSS, KURU, PRIP, PrP, PrP27-30, PrP33-35C, PrPc, p27-30
4292	MLH1	COCA2, FCC2, HNPCC, HNPCC2, hMLH1
3630	INS	IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10
4153	MBL2	COLEC1, HSMBPC, MBLD, MBP, MBP-C, MBP1, MBPD, MBL2
6648	SOD2	IPO-B, IPOB, MNSOD, MVCD6, Mn-SOD
857	CAV1	BSCL3, CGL3, LCCNS, MSTP085, PPH3, VIP21
1906	EDN1	ARCND3, ET1, HDLCQ7, PPET1, QME
142	PARP1	ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PPOL, pADPRT-1
5595	MAPK3	ERK-1, ERK1, ERT2, HS44KDAP, HUMKER1A, P44ERK1, P44MAPK, PRKM3, p44-ERK1, p44-MAPK
3043	HBB	CD113t-C, ECYT6, beta-globin
1559	CYP2C9	CPC9, CYP2C, CYP2C10, CYPIIC9, P450IIC9
6531	SLC6A3	DAT, DAT1, PKDYS, PKDYS1
2146	EZH2	ENX-1, ENX1b, KMT6, KMT6A, WVS, WVS2, EZH2
4582	MUC1	ADMCKD, ADMCKD1, CA 15-3, CD227, EMA, H23AG, KL-6, MAM6, MCD, MCKD, MCKD1, MUC-1, MUC-1/SEC, MUC-1/X/ZD, PEM, PEMT, PUM, MUC1
1027	CDKN1B	CDKN4, KIP1, MEN1B, MEN4, P27KIP1
185	AGTR1	AG2SB, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R, AGTR1
3725	JUN	AP-1, AP1, c-Jun, p39
4312	MMP1	CLG, CLGN
3557	IL1RN	DIRA, ICIL-1RA, IL-1RN, IL-1ra, IL-1ra3, IL1F3, IL1RA, IRAP, MVCD4
6667	SP1	
8743	TNFSF10	APO2L, Apo-2L, CD253, TL2, TNLG6A, TRAIL
5879	RAC1	MIG5, MRD48, Rac-1, TC-25, p21-Rac1
9429	ABCG2	ABC15, ABCP, BCRP, BCRP1, BMDP, CD338, CDw338, EST157481, GOUT1, MRX, MXR, MXR-1, MXR1, UAQTL1
338	APOB	FLDB, LDLCQ4, apoB-100, apoB-48
324	APC	BTPS2, DP2, DP2.5, DP3, GS, PPP1R46
581	BAX	BCL2L4
3075	CFH	AHUS1, AMBP1, ARMD4, ARMS1L3, FH, FHL1, HF, HF1, HF2, HUS, CFH
3791	KDR	CD309, FLK1, VEGFR, VEGFR2
79068	FTO	ALKBH9, BMIQ14, GDFD
8626	TP63	AIS, B(p51A), B(p51B), EEC3, KET, LMS, NBP, OFC8, RHS, SHFM4, TP53CP, TP53L, TP73L, p40, p51, p53CP, p63, p73H, p73L
1588	CYP19A1	ARO, ARO1, CPV1, CYAR, CYP19, CYPXIX, P-450AROM
1576	CYP3A4	CP33, CP34, CYP3A, CYP3A3, CYPIIIA3, CYPIIIA4, HLP, NF-25, P450C3, P450PCN1
3958	LGALS3	CBP35, GAL3, GALBP, GALIG, L31, LGALS2, MAC2
3949	LDLR	FH, FHC, LDLCQ2
4000	LMNA	CDCD1, CDDC, CMD1A, CMT2B1, EMD2, FPL, FPLD, FPLD2, HGPS, IDC, LDP1, LFP, LGMD1B, LMN1, LMNC, LMNL1, MADA, PRO1
3107	HLA-C	D6S204, HLA-JY3, HLAC, HLC-C, MHC, PSORS1
3934	LCN2	24p3, MSFI, NGAL, p25
2157	F8	AHF, DXS1253EB, F8C, FVIII, HEMA, F8
5663	PSEN1	ACNINV3, AD3, FAD, PS-1, PS1, S182
5747	PTK2	FADK, FAK, FAK1, FRNK, PPP1R71, p125FAK, pp125FAK
54658	UGT1A1	BILIQTL1, GNT1, HUG-BR1, UDPGT, UDPGT 1-1, UGT1, UGT1A
3082	HGF	DFNB39, F-TCFB, HPTA, SF, HGF
4255	MGMT	
929	CD14	
4843	NOS2	HEP-NOS, INOS, NOSA, NOS2
4023	LPL	HDLCQ11, LIPD
4982	TNFRSF11B	OCIF, OPG, PDB5, TR1
387	RHOA	ARH12, ARHA, RHO12, RHOH12
7490	WT1	AWT1, GUD, NPHS4, WAGR, WIT-2, WT33
5133	PDCD1	CD279, PD-1, PD1, SLEB2, hPD-1, hPD-l, hSLE1
4282	MIF	GIF, GLIF, MMIF
5071	PRKN	AR-JP, LPRS2, PARK2, PDJ
3552	IL1A	IL-1A, IL1, IL1-ALPHA, IL1F1
1815	DRD4	D4DR
2247	FGF2	BFGF, FGF-2, FGFB, HBGF-2
2033	EP300	KAT3B, RSTS2, p300
1277	COL1A1	EDSARTH1, EDSC, OI1, OI2, OI3, OI4
2322	FLT3	CD135, FLK-2, FLK2, STK1
3039	HBA1	ECYT7, HBA-T3, HBH, METHBA
2068	ERCC2	COFS2, EM9, TFIIH, TTD, TTD1, XPD
3356	HTR2A	5-HT2A, HTR2
19	ABCA1	ABC-1, ABC1, CERP, HDLDT1, TGD
3757	KCNH2	ERG-1, ERG1, H-ERG, HERG, HERG1, Kv11.1, LQT2, SQT1
282617	IFNL3	IFN-lambda-3, IFN-lambda-4, IL-28B, IL-28C, IL28B, IL28C
238	ALK	CD246, NBLST3
6934	TCF7L2	TCF-4, TCF4
6772	STAT1	CANDF7, IMD31A, IMD31B, IMD31C, ISGF-3, STAT91
7428	VHL	HRCA1, RCA11, pVHL, VHL
4288	MKI67	KIA, MIB-, MIB-1, PPP1R105
2332	FMR1	FMRP, FRAXA, POF, POF1
5599	MAPK8	JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c
5241	PGR	NR3C3, PR
10	NAT2	AAC2, NAT-2, PNAT
4204	MECP2	AUTSX3, MRX16, MRX79, MRXS13, MRXSL, PPMX, RS, RTS, RTT
6331	SCN5A	CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1, VF1
3265	HRAS	C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV1, KRAS, KRAS2, Ki-Ras, RASH1, RASK2, c-K-ras, c-Ki-ras, p21ras, HRAS
7276	TTR	ATTR, CTS, CTS1, HEL111, HsT2651, PALB, TBPA
1071	CETP	BPIFF, HDLCQ10
3558	IL2	IL-2, TCGF, lymphokine
3320	HSP90AA1	EL52, HEL-S-65p, HSP86, HSP89A, HSP90A, HSP90N, HSPC1, HSPCA, HSPCAL1, HSPCAL4, HSPN, Hsp103, Hsp89, Hsp90, LAP-2, LAP2
25	ABL1	ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl
4436	MSH2	COCA1, FCC1, HNPCC, HNPCC1, LCFS2, hMSH2
841	CASP8	ALPS2B, CAP4, Casp-8, FLICE, MACH, MCH5
5578	PRKCA	AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA
3417	IDH1	HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD
4869	NPM1	B23, NPM
5265	SERPINA1	A1A, A1AT, AAT, PI, PI1, PRO2275, alpha1AT, nNIF
2335	FN1	CIG, ED-B, FINC, FN, FNZ, GFND, GFND2, LETS, MSF, SMDCF
2152	F3	CD142, TF, TFA
54106	TLR9	CD289
213	ALB	HSA, PRO0883, PRO0903, PRO1341
1950	EGF	HOMG4, URG
3064	HTT	HD, IT15, LOMARS
4314	MMP3	CHDS6, MMP-3, SL-1, STMY, STMY1, STR1
4353	MPO	
217	ALDH2	ALDH-E2, ALDHI, ALDM
2321	FLT1	FLT, FLT-1, VEGFR-1, VEGFR1
1577	CYP3A5	CP35, CYPIIIA5, P450PCN3, PCN3
5781	PTPN11	BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2
861	RUNX1	AML1, AML1-EVI-1, AMLCR1, CBF2alpha, CBFA2, EVI-1, PEBP2aB, PEBP2alpha
3486	IGFBP3	BP-53, IBP3
23435	TARDBP	ALS10, TDP-43
3065	HDAC1	GON-10, HD1, RPD3, RPD3L1
2067	ERCC1	COFS4, RAD10, UV20
6352	CCL5	D17S136E, RANTES, SCYA5, SIS-delta, SISd, TCP228, eoCP
2697	GJA1	AVSD3, CMDR, CX43, EKVP, EKVP3, GJAL, HLHS1, HSS, ODDD, PPKCA
3481	IGF2	C11orf43, GRDF, IGF-II, PP9974
3643	INSR	CD220, HHF5
4128	MAOA	BRNRS, MAO-A
1471	CST3	ARMD11, HEL-S-2
406938	MIR146A	MIRN146, MIRN146A, miR-146a, miRNA146A
6790	AURKA	AIK, ARK1, AURA, BTAK, PPP1R47, STK15, STK6, STK7
3953	LEPR	CD295, LEP-RD, OB-R, OBR, LEPR
56729	RETN	ADSF, FIZZ31, RSTN, XCP1, RETN
4988	OPRM1	LMOR, M-OR-1, MOP, MOR, MOR1, OPRM
2263	FGFR2	BBDS, BEK, BFR-1, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25
7316	UBC	HMG20
1869	E2F1	E2F-1, RBAP1, RBBP3, RBP3
3117	HLA-DQA1	CELIAC1, DQ-A1, DQA1, HLA-DQA
4968	OGG1	HMMH, HOGG1, MUTM, OGH1
7132	TNFRSF1A	CD120a, FPF, TBP1, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR55, TNFR60, p55, p55-R, p60
1571	CYP2E1	CPE1, CYP2E, P450-J, P450C2E
650	BMP2	BDA2A, SSFSC, BMP2
7161	TP73	P73
356	FASLG	ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A
6513	SLC2A1	CSE, DYT17, DYT18, DYT9, EIG12, GLUT, GLUT-1, GLUT1, GLUT1DS, HTLVR, PED, SDCHCN
10891	PPARGC1A	LEM6, PGC-1(alpha), PGC-1alpha, PGC-1v, PGC1, PGC1A, PPARGC1
8842	PROM1	AC133, CD133, CORD12, MCDR2, MSTP061, PROML1, RP41, STGD4
4089	SMAD4	DPC4, JIP, MADH4, MYHRS
4170	MCL1	BCL2L3, EAT-ES, MCL1L, MCL1S, Mcl-1, TM, bcl2-L-3, mcl1/EAT, MCL1
3627	CXCL10	C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1
5347	PLK1	PLK, STPK13
114548	NLRP3	AGTAVPRL, AII, AVP, C1orf7, CIAS1, CLR1.1, DFNA34, FCAS, FCAS1, FCU, KEFH, MWS, NALP3, PYPAF1
8600	TNFSF11	CD254, ODF, OPGL, OPTB2, RANKL, TNLG6B, TRANCE, hRANKL2, sOdf
10413	YAP1	COB1, YAP, YAP2, YAP65, YKI
2261	FGFR3	ACH, CD333, CEK2, HSFGFR3EX, JTK4
26191	PTPN22	LYP, LYP1, LYP2, PEP.5, PTPN22.6, PTPN8, PTPN22
328	APEX1	APE, APE1, APEN, APEX, APX, HAP1, REF1
7098	TLR3	CD283, IIAE2
3309	HSPA5	BIP, GRP78, HEL-S-89n, MIF2
983	CDK1	CDC2, CDC28A, P34CDC2
718	C3	AHUS5, ARMD9, ASPa, C3b, CPAMD1, HEL-S-62p, C3
8074	FGF23	ADHR, FGFN, HFTC2, HPDR2, HYPF, PHPTC
7298	TYMS	HST422, TMS, TS
682	BSG	5F7, CD147, EMMPRIN, EMPRIN, OK, SLC7A11, TCSF
3784	KCNQ1	ATFB1, ATFB3, JLNS1, KCNA8, KCNA9, KVLQT1, Kv1.9, Kv7.1, LQT, LQT1, RWS, SQT2, WRS
10135	NAMPT	1110035O14Rik, PBEF, PBEF1, VF, VISFATIN
1756	DMD	BMD, CMD3B, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85
598	BCL2L1	BCL-XL/S, BCL2L, BCLX, Bcl-X, PPP1R52
7076	TIMP1	CLGI, EPA, EPO, HCI, TIMP, TIMP-1
5329	PLAUR	CD87, U-PAR, UPAR, URKR
406947	MIR155	MIRN155, miRNA155, mir-155
5460	POU5F1	OCT3, OCT4, OTF-3, OTF3, OTF4, Oct-3, Oct-4
1586	CYP17A1	CPT7, CYP17, P450C17, S17AH
3596	IL13	IL-13, P600
1387	CREBBP	CBP, KAT3A, RSTS, RSTS1
11200	CHEK2	CDS1, CHK2, HuCds1, LFS2, PP1425, RAD53, hCds1
959	CD40LG	CD154, CD40L, HIGM1, IGM, IMD3, T-BAM, TNFSF5, TRAP, gp39, hCD40L
2778	GNAS	AHO, C20orf451, GPSA, GSA, GSP, NESP, PITA3, POH, SCG6, SgVI, GNAS
1490	CTGF	CCN2, HCS24, IGFBP8, NOV2
5888	RAD51	BRCC5, FANCR, HRAD51, HsRad51, HsT16930, MRMV2A, RECA, RAD51
4088	SMAD3	HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3
958	CD40	Bp50, CDW40, TNFRSF5, p50
846	CASR	CAR, EIG8, FHH, FIH, GPRC2A, HHC, HHC1, HYPOC1, NSHPT, PCAR1, hCasR
1191	CLU	AAG4, APO-J, APOJ, CLI1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2, CLU
1457	CSNK2A1	CK2A1, CKII, Cka1, Cka2, OCNDS
2260	FGFR1	BFGFR, CD331, CEK, ECCL, FGFBR, FGFR-1, FLG, FLT-2, FLT2, HBGFR, HH2, HRTFDS, KAL2, N-SAM, OGD, bFGF-R-1
11093	ADAMTS13	ADAM-TS13, ADAMTS-13, C9orf8, VWFCP, vWF-CP
196	AHR	bHLHe76
1017	CDK2	CDKN2, p33(CDK2)
1545	CYP1B1	ASGD6, CP1B, CYPIB1, GLC3A, P4501B1
7291	TWIST1	ACS3, BPES2, BPES3, CRS, CRS1, CSO, SCS, SWCOS, TWIST, bHLHa38
100507436	MICA	MIC-A, PERB11.1
255738	PCSK9	FH3, HCHOLA3, LDLCQ1, NARC-1, NARC1, PC9
5580	PRKCD	ALPS3, CVID9, MAY1, PKCD, nPKC-delta
1728	NQO1	DHQU, DIA4, DTD, NMOR1, NMORI, QR1
4763	NF1	NFNS, VRNF, WSS
4210	MEFV	FMF, MEF, TRIM20
1268	CNR1	CANN6, CB-R, CB1, CB1A, CB1K5, CB1R, CNR
3315	HSPB1	CMT2F, HEL-S-102, HMN2B, HS.76067, HSP27, HSP28, Hsp25, SRP27
1803	DPP4	ADABP, ADCP2, CD26, DPPIV, TP103
60489	APOBEC3G	A3G, ARCD, ARP-9, ARP9, CEM-15, CEM15, MDS019, bK150C2.7, dJ494G10.1
5465	PPARA	NR1C1, PPAR, PPARalpha, hPPAR
1385	CREB1	CREB, CREB-1
2885	GRB2	ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2
5328	PLAU	ATF, BDPLT5, QPD, UPA, URK, u-PA
2309	FOXO3	AF6q21, FKHRL1, FKHRL1P2, FOXO2A, FOXO3
5111	PCNA	ATLD2
6657	SOX2	ANOP3, MCOPS3
3084	NRG1	ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF-IT2, SMDF, NRG1
1786	DNMT1	ADCADN, AIM, CXXC9, DNMT, HSN1E, MCMT, m.HsaI
796	CALCA	CALC1, CGRP, CGRP-I, CGRP1, CT, KC, PCT
4323	MMP14	MMP-14, MMP-X1, MT-MMP, MT-MMP 1, MT1-MMP, MT1MMP, MTMMP1, WNCHRS
354	KLK3	APS, KLK2A1, PSA, hK3
5295	PIK3R1	AGM7, GRB1, IMD36, p85, p85-ALPHA
2155	F7	SPCA
3559	IL2RA	CD25, IDDM10, IL2R, IMD41, TCGFR, p55
648	BMI1	FLVI2/BMI1, PCGF4, RNF51, flvi-2/bmi-1
2629	GBA	GBA1, GCB, GLUC
2896	GRN	CLN11, GEP, GP88, PCDGF, PEPI, PGRN
407040	MIR34A	MIRN34A, miRNA34A, mir-34, mir-34a
6469	SHH	HHG1, HLP3, HPE3, MCOPCB5, SMMCI, ShhNC, TPT, TPTPS
1116	CHI3L1	ASRT7, CGP-39, GP-39, GP39, HC-gp39, HCGP-3P, YK-40, YKL-40, YKL40, YYL-40, hCGP-39
3593	IL12B	CLMF, CLMF2, IL-12B, IMD28, IMD29, NKSF, NKSF2
7412	VCAM1	CD106, INCAM-100
331	XIAP	API3, BIRC4, IAP-3, ILP1, MIHA, XLP2, hIAP-3, hIAP3
3667	IRS1	HIRS-1
7052	TGM2	TG(C), TGC
57817	HAMP	HEPC, HFE2B, LEAP1, PLTR
860	RUNX2	AML3, CBF-alpha-1, CBFA1, CCD, CCD1, CLCD, OSF-2, OSF2, PEA2aA, PEBP2aA
7057	THBS1	THBS, THBS-1, TSP, TSP-1, TSP1
867	CBL	C-CBL2, FRA11B, NSLL, RNF55, CBL
4049	LTA	LT, TNFB, TNFSF1, TNLG1E
11186	RASSF1	123F2, NORE2AA, RDA32, REH3P21, RASSF1
3308	HSPA4	APG-2, HEL-S-5a, HS24/P52, HSPH2, RY, hsp70, hsp70RY
998	CDC42	CDC42Hs, G25K, TKS
2308	FOXO1	FKH1, FKHRA, FOXO1
2688	GH1	GH, GH-N, GHB5, GHN, IGHD1B, hGH-N
3685	ITGAV	CD51, MSK8, VNRA, VTNR
2200	FBN1	ACMICD, ECTOL1, FBN, GPHYSD2, MASS, MFLS, MFS1, OCTD, SGS, SSKS, WMS, WMS2
5027	P2RX7	P2X7
116519	APOA5	APOAV, RAP3
3620	IDO1	IDO, IDO-1, INDO
7048	TGFBR2	AAT3, FAA3, LDS1B, LDS2, LDS2B, MFS2, RIIC, TAAD2, TBR-ii, TBRII, TGFR-2, TGFbeta-RII
2022	ENG	END, HHT1, ORW1
2056	EPO	DBAL, ECYT5, EP, MVCD2
5371	PML	MYL, PP8675, RNF71, TRIM19
2212	FCGR2A	CD32, CD32A, CDw32, FCG2, FCGR21, FcGR, IGFR2, FCGR2A
10673	TNFSF13B	BAFF, BLYS, CD257, DTL, TALL-1, TALL1, THANK, TNFSF20, TNLG7A, ZTNF4
2312	FLG	ATOD2
4297	KMT2A	ALL-1, CXXC7, HRX, HTRX1, MLL, MLL1, MLL1A, TRX1, WDSTS
4792	NFKBIA	IKBA, MAD-3, NFKBI
7139	TNNT2	CMD1D, CMH2, CMPD2, LVNC6, RCM3, TnTC, cTnT
7253	TSHR	CHNG1, LGR3, hTSHR-I
948	CD36	BDPLT10, CHDS7, FAT, GP3B, GP4, GPIV, PASIV, SCARB3
